procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255840   3332 289920    0    0     0     0  112  242  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  115  242  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  104  244  0  1 99  0  0
 1  0      0 255840   3332 289920    0    0     0     0  111  226  0  4 96  0  0
 0  0      0 255840   3332 289920    0    0     0     0  108  233  0  2 98  0  0
 0  0      0 255840   3332 289920    0    0     0     0  100  231  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  129  251  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     8  112  247  0  4 96  0  0
 1  0      0 255840   3332 289920    0    0     0     0  112  239  0  3 97  0  0
 1  0      0 255840   3332 289920    0    0     0     0  107  224  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  117  242  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  108  237  0  1 99  0  0
 0  0      0 255840   3332 289920    0    0     0     0  107  238  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  101  239  0  0 100  0  0
 0  0      0 255840   3332 289920    0    0     0     0  102  229  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  105  226  0  2 98  0  0
 0  0      0 255840   3332 289920    0    0     0     0  114  245  0  3 97  0  0
 1  0      0 255840   3332 289920    0    0     0     0  114  251  0  1 99  0  0
 1  0      0 255840   3332 289920    0    0     0     0  112  236  0  4 96  0  0
 0  0      0 255840   3332 289920    0    0     0     0   94  210  0  4 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255840   3332 289920    0    0     0     0  114  248  0  2 98  0  0
 0  0      0 255840   3332 289920    0    0     0     0  114  244  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  111  239  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     4  118  233  1  3 96  0  0
 1  0      0 255840   3332 289920    0    0     0     0  108  228  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  113  228  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  108  241  0  4 96  0  0
 0  0      0 255840   3332 289920    0    0     0     2  112  247  0  1 99  0  0
 0  0      0 255840   3332 289920    0    0     0     0  105  242  0  4 96  0  0
 0  0      0 255840   3332 289920    0    0     0     0  119  238  0  3 97  0  0
 1  0      0 255840   3332 289920    0    0     0     0  107  230  0  3 97  0  0
 2  0      0 255840   3332 289920    0    0     0     0  110  238  0  4 96  0  0
 1  0      0 255840   3332 289920    0    0     0     0  102  234  0  2 98  0  0
 2  0      0 255840   3332 289920    0    0     0     0  103  221  0  4 96  0  0
 0  0      0 255840   3332 289920    0    0     0     0  106  238  0  2 98  0  0
 1  0      0 255840   3332 289920    0    0     0     0  103  225  0  3 97  0  0
 1  0      0 255840   3332 289920    0    0     0     0  110  241  0  4 96  0  0
 0  0      0 255840   3332 289928    0    0     0     0  104  247  0  3 97  0  0
 0  0      0 255840   3332 289928    0    0     0     8  106  235  0  1 99  0  0
 0  0      0 255840   3332 289928    0    0     0     0  110  232  0  4 96  0  0
 0  0      0 255840   3332 289928    0    0     0     0  103  235  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 255840   3332 289928    0    0     0     0  106  232  0  2 98  0  0
 2  0      0 255840   3332 289928    0    0     0     0  108  238  1  3 96  0  0
 3  0      0 255840   3332 289928    0    0     0     0  104  233  0  3 97  0  0
 1  0      0 255840   3332 289928    0    0     0     0  106  229  0  2 98  0  0
 1  0      0 255840   3332 289928    0    0     0     0  100  226  0  3 97  0  0
 1  0      0 255840   3332 289928    0    0     0     0  106  227  0  4 96  0  0
 1  0      0 255840   3332 289928    0    0     0     0  117  246  0  4 96  0  0
 1  0      0 255840   3332 289928    0    0     0     0  116  238  0  1 99  0  0
 1  0      0 255840   3332 289928    0    0     0     0  116  252  0  3 97  0  0
 1  0      0 255840   3332 289928    0    0     0     0  111  234  0  2 98  0  0
 2  0      0 255840   3332 289928    0    0     0     0  109  242  0  3 97  0  0
 2  0      0 255840   3332 289928    0    0     0     0   99  223  0  1 99  0  0
 2  0      0 255840   3332 289928    0    0     0     0  104  232  1  3 96  0  0
 3  0      0 255840   3332 289928    0    0     0     0  109  231  0  3 97  0  0
 0  0      0 255840   3332 289928    0    0     0     0  113  238  0  3 97  0  0
 1  0      0 255840   3332 289928    0    0     0     0  115  235  0  3 97  0  0
 2  0      0 255840   3332 289928    0    0     0     2  123  242  0  4 96  0  0
 1  0      0 255840   3332 289928    0    0     0     0  103  223  0  2 98  0  0
 1  0      0 255840   3332 289928    0    0     0     0  110  236  0  3 97  0  0
 1  0      0 255840   3332 289928    0    0     0     0  108  233  0  3 97  0  0
 1  0      0 255840   3332 289928    0    0     0     0  108  234  0  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255840   3332 289928    0    0     0     0  105  229  0  4 96  0  0
 5  0      0 255840   3332 289928    0    0     0     0  103  226  0  1 99  0  0
 0  0      0 255840   3332 289928    0    0     0     0  111  234  0  4 96  0  0
 0  0      0 255840   3332 289928    0    0     0     0  113  239  0  3 97  0  0
 0  0      0 255840   3332 289928    0    0     0     0  110  238  0  2 98  0  0
 0  0      0 255840   3332 289928    0    0     0     0  119  256  0  3 96  1  0
